,p,indegree,algorithm,Precision_causality,Recall_causaltity,F1_causality,Precision_latent,Recall_latent,F1_latent,mse,time
0,0.1,1,ParceLiNGAM,0.8625252525252526,0.9677777777777777,0.9051640718983517,0.0,0.0,0.0,0.002487885968005957,48.54641246795654
1,0.1,1.5,ParceLiNGAM,0.8161655363899947,0.9575457875457876,0.8788226171694731,0.0,0.0,0.0,0.004681588660485795,54.915133929252626
2,0.1,2,ParceLiNGAM,0.8204167450906581,0.9316615067079462,0.8706771951184885,0.0,0.0,0.0,0.007641226961050464,46.501954317092896
3,0.1,2.5,ParceLiNGAM,0.7592140132619891,0.8348544137022398,0.7938237537487898,0.0,0.0,0.0,0.014085278949289032,54.98763022422791
4,0.1,3,ParceLiNGAM,0.7834636074180013,0.8148877941981392,0.7986652367596108,0.0,0.0,0.0,0.019383657882341327,54.851539325714114
5,0.2,1,ParceLiNGAM,0.8044230769230769,0.9757142857142856,0.8697222596132276,0.025,0.05,0.03333333333333333,0.010826284997823146,37.94491243362427
6,0.2,1.5,ParceLiNGAM,0.7140231092436975,0.9251748251748252,0.8017525113493672,0.0,0.0,0.0,0.014909910905140373,38.45672075748443
7,0.2,2,ParceLiNGAM,0.7066977225672877,0.8754815961472306,0.7809648126721297,0.05,0.06,0.05454545454545454,0.02140716240339287,35.125253558158875
8,0.2,2.5,ParceLiNGAM,0.7251436206813782,0.8131187652926783,0.7628395528689035,0.03,0.075,0.04285714285714285,0.035512737298671555,37.76507065296173
9,0.2,3,ParceLiNGAM,0.7614135987396857,0.7609450549450549,0.7581301336209375,0.05500000000000001,0.095,0.06507936507936507,0.048827842867688806,38.21978449821472
10,0.3,1,ParceLiNGAM,0.7966242091242091,0.9253174603174603,0.8512156340989293,0.0,0.0,0.0,0.011508796761916209,23.43234043121338
11,0.3,1.5,ParceLiNGAM,0.779183977786919,0.9602564102564102,0.8470038631477912,0.016666666666666666,0.1,0.02857142857142857,0.021743230600421,22.467947840690613
12,0.3,2,ParceLiNGAM,0.7736321809425524,0.861999299719888,0.8142907932733229,0.03333333333333333,0.06666666666666667,0.04444444444444444,0.03296448250546734,25.35830154418945
13,0.3,2.5,ParceLiNGAM,0.790140056022409,0.7850668337510444,0.7865808638273337,0.0,0.0,0.0,0.04071429932678334,25.116388940811156
14,0.3,3,ParceLiNGAM,0.7726529559192098,0.7095238095238094,0.738909468793936,0.01111111111111111,0.014285714285714285,0.0125,0.07662504687784742,26.5463748216629
15,0.4,1,ParceLiNGAM,0.7481457431457431,0.9297619047619048,0.8191727716727717,0.05,0.04444444444444444,0.047058823529411764,0.02199099118614615,16.059995341300965
16,0.4,1.5,ParceLiNGAM,0.7975523088023089,0.8736868686868687,0.825398583872268,0.03333333333333333,0.04444444444444444,0.0380952380952381,0.0311525111878309,15.98120219707489
17,0.4,2,ParceLiNGAM,0.7879670329670331,0.7939743589743589,0.7874728099930499,0.0,0.0,0.0,0.04918135238716133,16.308057022094726
18,0.4,2.5,ParceLiNGAM,0.7033338230397054,0.6599999999999999,0.6786694595315286,0.05833333333333333,0.06666666666666667,0.06162464985994398,0.10506001896377182,16.80115065574646
19,0.4,3,ParceLiNGAM,0.6113736263736264,0.5666666666666667,0.5876409414340449,0.025,0.02222222222222222,0.023529411764705882,0.14385546239302266,15.882618045806884
20,0.5,1,ParceLiNGAM,0.7761904761904761,0.925,0.8364335664335665,0.0,0.0,0.0,0.033870814853813366,10.079660820961
21,0.5,1.5,ParceLiNGAM,0.7512626262626261,0.8794047619047618,0.8067178409825468,0.06,0.06,0.06,0.05144827096908892,10.173057246208192
22,0.5,2,ParceLiNGAM,0.8222222222222222,0.8,0.8105263157894737,0.0,0.0,0.0,0.07486581741605856,9.543197774887085
23,0.5,2.5,ParceLiNGAM,0.7511111111111112,0.7,0.7242105263157895,0.0,0.0,0.0,0.11250632876853987,10.132200622558594
24,0.5,3,ParceLiNGAM,0.7511111111111112,0.7,0.7242105263157895,0.0,0.0,0.0,0.11250632876853987,10.170450568199158
